Datum;Errechneter Wert;Ausgabepreis
05.01.2017;273,65;273,65
04.01.2017;273,66;273,66
03.01.2017;270,13;270,13
02.01.2017;268,33;268,33
30.12.2016;269,95;269,95
29.12.2016;272,26;272,26
28.12.2016;272,36;272,36
27.12.2016;271,8;271,8
23.12.2016;271,71;271,71
22.12.2016;273,19;273,19
21.12.2016;274,72;274,72
20.12.2016;272,84;272,84
19.12.2016;273,18;273,18
16.12.2016;273,51;273,51
15.12.2016;268,93;268,93
14.12.2016;270,22;270,22
13.12.2016;268,97;268,97
12.12.2016;271,38;271,38
09.12.2016;269,04;269,04
07.12.2016;262,06;262,06
06.12.2016;260,86;260,86
05.12.2016;260,72;260,72
02.12.2016;262,11;262,11
01.12.2016;263,06;263,06
30.11.2016;263;263
29.11.2016;263,31;263,31
28.11.2016;264,1;264,1
25.11.2016;264,05;264,05
24.11.2016;264,39;264,39
23.11.2016;263,24;263,24
22.11.2016;261,3;271,75
21.11.2016;260,92;271,36
18.11.2016;260,03;270,43
17.11.2016;258,99;269,35
16.11.2016;258,11;268,43
15.11.2016;256,56;266,82
14.11.2016;256,29;266,54
11.11.2016;256,3;266,55
10.11.2016;254,08;264,24
09.11.2016;250,73;260,76
08.11.2016;250,35;260,36
07.11.2016;245,03;254,83
04.11.2016;246,73;256,6
03.11.2016;246,77;256,64
02.11.2016;250,12;260,12
31.10.2016;254,32;264,49
28.10.2016;254,74;264,93
27.10.2016;255,66;265,89
25.10.2016;257,9;268,22
24.10.2016;257,17;267,46
21.10.2016;256,45;266,71
20.10.2016;256,28;266,53
19.10.2016;255,05;265,25
18.10.2016;252,41;262,51
17.10.2016;253,1;263,22
14.10.2016;251,47;261,53
13.10.2016;253,26;263,39
12.10.2016;252,91;263,03
11.10.2016;253,85;264
10.10.2016;252,48;262,58
07.10.2016;254,32;264,49
06.10.2016;253,61;263,75
05.10.2016;254,08;264,24
04.10.2016;253,16;263,29
03.10.2016;252,82;262,93
30.09.2016;252,05;262,13
29.09.2016;253,18;263,31
28.09.2016;252,02;262,1
27.09.2016;249,37;259,34
26.09.2016;252,8;262,91
23.09.2016;253,64;263,79
22.09.2016;253,09;263,21
21.09.2016;249,91;259,91
20.09.2016;250,04;260,04
19.09.2016;249,27;259,24
16.09.2016;249;258,96
15.09.2016;246,88;256,76
14.09.2016;247,07;256,95
13.09.2016;250,19;260,2
12.09.2016;249,48;259,46
09.09.2016;253,47;263,61
08.09.2016;254,67;264,86
07.09.2016;254,59;264,77
06.09.2016;255,95;266,19
05.09.2016;255,06;265,26
02.09.2016;252,57;262,67
01.09.2016;253,21;263,34
31.08.2016;253,81;263,96
30.08.2016;253,6;263,74
29.08.2016;251,24;261,29
26.08.2016;251,15;261,2
25.08.2016;252,13;262,22
24.08.2016;251,44;261,5
23.08.2016;250,4;260,42
22.08.2016;250,32;260,33
19.08.2016;250,98;261,02
18.08.2016;251,2;261,25
17.08.2016;251,29;261,34
16.08.2016;253,88;264,04
12.08.2016;253,58;263,72
11.08.2016;252,48;262,58
10.08.2016;253,89;264,05
09.08.2016;253,84;263,99
08.08.2016;253,76;263,91
05.08.2016;250,57;260,59
04.08.2016;248,63;258,58
03.08.2016;247,51;257,41
02.08.2016;250,82;260,85
01.08.2016;250,93;260,97
29.07.2016;252,2;262,29
28.07.2016;253,94;264,1
27.07.2016;254,21;264,38
26.07.2016;253,91;264,07
25.07.2016;253,93;264,09
22.07.2016;253,38;263,52
21.07.2016;253,47;263,61
20.07.2016;251,55;261,61
19.07.2016;250,9;260,94
18.07.2016;250,55;260,57
15.07.2016;250,08;260,08
14.07.2016;248,58;258,52
13.07.2016;249,03;258,99
12.07.2016;246,97;256,85
11.07.2016;244,93;254,73
08.07.2016;241,26;250,91
07.07.2016;240,5;250,12
06.07.2016;240,4;250,02
05.07.2016;242,26;251,95
04.07.2016;242,43;252,13
01.07.2016;242,01;251,69
30.06.2016;239,08;248,64
29.06.2016;235,08;244,48
28.06.2016;232,58;241,88
27.06.2016;235,59;245,01
24.06.2016;243,78;253,53
23.06.2016;241,93;251,61
22.06.2016;242,03;251,71
21.06.2016;240,52;250,14
20.06.2016;238,29;247,82
17.06.2016;239,49;249,07
16.06.2016;238,53;248,07
15.06.2016;238,69;248,24
14.06.2016;238,8;248,35
13.06.2016;242,34;252,03
10.06.2016;245,27;255,08
09.06.2016;245,35;255,16
08.06.2016;245,71;255,54
07.06.2016;244,29;254,06
06.06.2016;243,95;253,71
03.06.2016;247,52;257,42
02.06.2016;247,07;256,95
01.06.2016;248,17;258,1
31.05.2016;248,29;258,22
30.05.2016;248,48;258,42
27.05.2016;246,22;256,07
25.05.2016;244,68;254,47
24.05.2016;240,74;250,37
