Datum;Errechneter Wert;Ausgabepreis
05.01.2017;172,52;172,52
04.01.2017;173,35;173,35
03.01.2017;171,19;171,19
02.01.2017;170,01;170,01
30.12.2016;172,2;172,2
29.12.2016;174,4;174,4
28.12.2016;175,93;175,93
27.12.2016;175,31;175,31
23.12.2016;175,16;175,16
22.12.2016;175,41;175,41
21.12.2016;176,01;176,01
20.12.2016;174,66;174,66
19.12.2016;173,9;173,9
16.12.2016;174,9;174,9
15.12.2016;170,31;170,31
14.12.2016;170,89;170,89
13.12.2016;169,38;169,38
12.12.2016;171,28;171,28
09.12.2016;169,13;169,13
07.12.2016;162,93;162,93
06.12.2016;161,86;161,86
05.12.2016;160,98;160,98
02.12.2016;160,77;160,77
01.12.2016;165,31;165,31
30.11.2016;166,7;166,7
29.11.2016;167,28;167,28
28.11.2016;167,49;167,49
25.11.2016;167,81;167,81
24.11.2016;168,22;168,22
23.11.2016;167,74;167,74
22.11.2016;166,58;174,91
21.11.2016;165,69;173,97
18.11.2016;163,85;172,04
17.11.2016;162,77;170,91
16.11.2016;160,74;168,78
15.11.2016;158,77;166,71
14.11.2016;159,4;167,37
11.11.2016;157,57;165,45
10.11.2016;159,23;167,19
09.11.2016;158,5;166,43
08.11.2016;158,11;166,02
07.11.2016;153,33;161
04.11.2016;154,4;162,12
03.11.2016;155,32;163,09
02.11.2016;157,77;165,66
31.10.2016;160,94;168,99
28.10.2016;161,01;169,06
27.10.2016;161,75;169,84
25.10.2016;162,39;170,51
24.10.2016;161,06;169,11
21.10.2016;159,77;167,76
20.10.2016;159,25;167,21
19.10.2016;159,46;167,43
18.10.2016;157,91;165,81
17.10.2016;158,42;166,34
14.10.2016;157,65;165,53
13.10.2016;158,87;166,81
12.10.2016;158,82;166,76
11.10.2016;159,93;167,93
10.10.2016;158,65;166,58
07.10.2016;159,27;167,23
06.10.2016;158,68;166,61
05.10.2016;158,82;166,76
04.10.2016;158,14;166,05
03.10.2016;158,08;165,98
30.09.2016;156,84;164,68
29.09.2016;157,27;165,13
28.09.2016;156,55;164,38
27.09.2016;153,79;161,48
26.09.2016;155,31;163,08
23.09.2016;156,73;164,57
22.09.2016;156,92;164,77
21.09.2016;154,78;162,52
20.09.2016;154,71;162,45
19.09.2016;155,02;162,77
16.09.2016;154,32;162,04
15.09.2016;151,69;159,27
14.09.2016;150,93;158,48
13.09.2016;152,47;160,09
12.09.2016;150,69;158,22
09.09.2016;153,69;161,37
